?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/UBERON_0001204>		
<http://purl.obolibrary.org/obo/MONDO_0019243>	"An inherited metabolic disease that is has its basis in the disruption of generation of precursor metabolites and energy."	"GARD:18972 UMLS:CN227604 Orphanet:79200"
<https://github.com/bmir-radx/gcbo/nih_asthma>		
<http://purl.obolibrary.org/obo/MONDO_0006797>	"Retinopathy due to hypertension."	"MedDRA:10020839 MESH:D058437 EFO:1000977 ICD9:362.11 DOID:11561 NCIT:C3514 UMLS:C0152132 SCTID:6962006"
<http://purl.obolibrary.org/obo/UBERON_0001773>		
<http://purl.obolibrary.org/obo/UBERON_0000002>		
<http://purl.obolibrary.org/obo/UBERON_0002530>		
<http://purl.obolibrary.org/obo/NCIT_C165593>	"A disease condition that persists over a significant span of time."	"IMDRF:F1201"
<http://purl.obolibrary.org/obo/UBERON_0005290>		
<http://purl.obolibrary.org/obo/UBERON_0004755>		
<http://purl.obolibrary.org/obo/NCIT_C4876>	"Subjective evidence of disease perceived by the patient."	
<https://github.com/bmir-radx/gcbo/nih_alcohol_frequency>		
<http://purl.obolibrary.org/obo/COB_0000011>	"A material entity consisting of exactly one atomic nucleus and the electron(s) orbiting it."	
<http://purl.obolibrary.org/obo/MONDO_0005401>	"A benign or malignant neoplasm that affects the colon. Representative examples of benign neoplasms include lipoma and leiomyoma. Representative examples of malignant neoplasms include carcinoma, lymphoma, and sarcoma. Colonic adenomas always exhibit epithelial dysplasia and are considered premalignant neoplasms."	"UMLS:C0009375 EFO:0004288 NCIT:C2953 MESH:D003110"
<http://purl.obolibrary.org/obo/MONDO_0018521>	"A squamous cell carcinoma that involves the pancreas."	"GARD:21776 UMLS:C2675993 Orphanet:424039 DOID:0080323 NCIT:C173813"
<http://purl.obolibrary.org/obo/MONDO_0006290>	"A gonadal or extragonadal malignant neoplasm that arises from germ cells. Representative examples include embryonal carcinoma, yolk sac tumor, and seminoma."	"EFO:1000352 UMLS:C4048549 SCTID:145831000119103 NCIT:C4925"
<https://github.com/bmir-radx/gcbo/nih_cough>		
<http://purl.obolibrary.org/obo/UBERON_0005291>		
<http://purl.obolibrary.org/obo/MF_0000020>	"A bodily process that occurs in the brain, and that can of itself be conscious, or can give rise to a process that can of itself be conscious or can give rise to behaviour."	
<http://purl.obolibrary.org/obo/MONDO_0002516>	"A primary or metastatic malignant neoplasm involving any part of the digestive system."	"ICD9:239.0 NCIT:C4890 DOID:3119 ICD10CM:C15-C26"
<http://purl.obolibrary.org/obo/PATO_0002124>		
<http://purl.obolibrary.org/obo/SYMP_0020004>	"A disturbances of sensation of smell and taste that is characterized by a complete loss of taste function of the tongue."	
<http://purl.obolibrary.org/obo/NCIT_C43431>	"An active process; excludes processes and mechanisms which fulfill biological functions."	
<http://purl.obolibrary.org/obo/CHEBI_35107>	"Saturated acyclic nitrogen hydrides having the general formula NnHn+2."	
<http://purl.obolibrary.org/obo/MONDO_0021210>	"A neoplasm (disease) that involves the trachea."	"NCIT:C3419 HP:0100551 EFO:1001437 UMLS:C0040582 GTR:AN0481062 MESH:D014134 GTR:AN0505660"
<http://purl.obolibrary.org/obo/UBERON_0000000>		
<http://purl.obolibrary.org/obo/UBERON_0002532>		
<http://purl.obolibrary.org/obo/MONDO_0006030>	"Recurrent infections of the urinary bladder."	"ICD9:595.2 EFO:1000023 UMLS:C0221763 NCIT:C27008 DOID:1680 SCTID:33655002"
<http://purl.obolibrary.org/obo/MONDO_0024503>	"A neoplasm with neuroendocrine differentiation arising from the digestive system. It includes neuroendocrine tumors (well-differentiated endocrine tumors or carcinoid tumors and well differentiated endocrine carcinomas) and neuroendocrine carcinomas (poorly differentiated neuroendocrine carcinomas, small cell carcinomas, and large cell neuroendocrine carcinomas)."	"UMLS:C1333799 MESH:C535650 Orphanet:100092 NCIT:C27721 GARD:2437"
<http://purl.obolibrary.org/obo/PATO_0000957>		
<http://purl.obolibrary.org/obo/NCBITaxon_1329799>		
<https://github.com/bmir-radx/gcbo/nih_sickle_cell_disease>		
<http://purl.obolibrary.org/obo/MONDO_0002025>	"A disorder characterized by behavioral and/or psychological abnormalities, often accompanied by physical symptoms. The symptoms may cause clinically significant distress or impairment in social and occupational areas of functioning. Representative examples include anxiety disorders, cognitive disorders, mood disorders and schizophrenia."	"MESH:D001523 DOID:150 MFOMD:0000004 NCIT:C2893 SCTID:74732009"
<http://purl.obolibrary.org/obo/MONDO_0005814>	"A malignant neoplasm involving the intestine"	"NCIT:C4572 ICD9:159.0 SCTID:363508008 DOID:10155 UMLS:C0346627 EFO:0007330 MESH:D007414"
<https://github.com/bmir-radx/gcbo/nih_chd>		
<http://purl.obolibrary.org/obo/MONDO_0005300>	"Impairment of the renal function secondary to chronic kidney damage persisting for three or more months."	"DOID:784 SCTID:709044004 MESH:D007676 EFO:0003884 NCIT:C80078 ICD10CM:N18.9 ICD9:585 UMLS:C1561643 ICD9:585.6"
<http://purl.obolibrary.org/obo/CL_0000095>		
<http://purl.obolibrary.org/obo/UBERON_0035554>		
<http://purl.obolibrary.org/obo/CHEBI_35479>		
<http://purl.obolibrary.org/obo/GO_0009314>		
<https://github.com/bmir-radx/gcbo/nih_olfactory>		
<http://purl.obolibrary.org/obo/MONDO_0001949>	"Acute form of thyroiditis (disease)."	"ICD10CM:E06.0 UMLS:C0001360 ICD9:245.0 SCTID:190293001 DOID:14353"
<http://purl.obolibrary.org/obo/NBO_0015005>	"Consumption behavior that involves burning a substance and inhaling the particulate and gas suspension emitted."	
<http://purl.obolibrary.org/obo/GO_0006590>		
<http://purl.obolibrary.org/obo/MONDO_0005138>	"A carcinoma that arises from epithelial cells of the lung"	"DOID:3905 EFO:0001071 NCIT:C4878 UMLS:C0684249"
<http://purl.obolibrary.org/obo/MONDO_0024634>	"A disease that involves the large intestine."	"SCTID:119523007 UMLS:C0341321"
<http://purl.obolibrary.org/obo/GO_0062023>		
<http://purl.obolibrary.org/obo/CHEBI_33655>	"A cyclically conjugated molecular entity with a stability (due to delocalization) significantly greater than that of a hypothetical localized structure (e.g. Kekule structure) is said to possess aromatic character."	
<http://purl.obolibrary.org/obo/NCBITaxon_197562>		
<http://purl.obolibrary.org/obo/GO_0098643>		
<http://purl.obolibrary.org/obo/RO_0002310>	"OBSOLETE A process occurring within or in the vicinity of an organism that exerts some causal influence on the organism via the interaction between an exposure stimulus and an exposure receptor. The exposure stimulus may be a process, material entity or condition (for example, lack of nutrients). The exposure receptor can be an organism, organism population or a part of an organism."	
<http://purl.obolibrary.org/obo/GO_0046394>		
<http://purl.obolibrary.org/obo/CHEBI_26714>	"Any alkali metal salt having sodium(1+) as the cation."	
<http://purl.obolibrary.org/obo/MONDO_0000588>	"A hypersensitivity reaction type II disease that involves the alimentary part of gastrointestinal system."	"DOID:0060031"
<http://purl.obolibrary.org/obo/SYMP_0000287>	"Arrhythmia is a cardiovascular system symptom consisting of an alteration in rhythm of the heartbeat either in time or force."	
<http://purl.obolibrary.org/obo/CHEBI_29337>		
<http://purl.obolibrary.org/obo/MONDO_0002741>	"A rare adenocarcinoma that arises from the uterine ligament."	"NCIT:C40135 DOID:3700 UMLS:C1519866"
<http://purl.obolibrary.org/obo/NCBITaxon_337687>		
<http://purl.obolibrary.org/obo/MONDO_0000473>	"An impairment of the structure or function of the blood vessels which carry blood away from the heart."	"SCTID:359557001 ICD9:447.8 NCIT:C35317 DOID:0050828 UMLS:C0852949 ICD9:447.9"
<http://purl.obolibrary.org/obo/UBERON_0002355>		
<http://purl.obolibrary.org/obo/MONDO_0006041>	"A neuroendocrine neoplasm that arises from the lung. It is characterized by the presence of uniform polygonal cells with small or moderate amount of cytoplasm and inconspicuous nucleoli. The cells are usually arranged in organoid and trabecular patterns. It is classified as typical or atypical carcinoid tumor based on the number of mitotic figures and the absence or presence of necrosis. Atypical carcinoid tumors have a worse prognosis."	"UMLS:C0280089 ONCOTREE:LUCA SCTID:254627002 NCIT:C4038 EFO:1000037"
<http://purl.obolibrary.org/obo/MONDO_0004979>	"A bronchial disease that is characterized by chronic inflammation and narrowing of the airways, which is caused by a combination of environmental and genetic factors resulting in recurring periods of wheezing (a whistling sound while breathing), chest tightness, shortness of breath, mucus production and coughing. The symptoms appear due to a variety of triggers such as allergens, irritants, respiratory infections, weather changes, exercise, stress, reflux disease, medications, foods and emotional anxiety."	"ICD10CM:J45 ICD9:493 UMLS:C0004096 DOID:2841 ICD9:493.81 SCTID:31387002 EFO:0000270 HP:0002099 ICD9:493.9 MESH:D001249 NCIT:C28397"
<http://purl.obolibrary.org/obo/GO_0098644>		
<http://purl.obolibrary.org/obo/MONDO_0002842>	"Gastritis resulting from bacteria."	"DOID:4033 SCTID:723096000 NCIT:C27340 UMLS:C0948039"
<http://purl.obolibrary.org/obo/MONDO_0000833>	"A bone disease that results in formation or resorption abnormalities located in bone."	"DOID:0080005"
<http://purl.obolibrary.org/obo/MONDO_0002545>	"A disease involving the spinal cord."	"UMLS:C0037928 ICD9:336.9 DOID:319 ICD9:336.8 NCIT:C97110 SCTID:48522003 MESH:D013118"
<http://purl.obolibrary.org/obo/CHEBI_33675>	"A main group molecular entity that contains one or more atoms of a p-block element."	
<http://purl.obolibrary.org/obo/GO_0065008>		
<http://purl.obolibrary.org/obo/HP_0007313>		
<http://purl.obolibrary.org/obo/GO_0098645>		
<http://purl.obolibrary.org/obo/CL_0000622>		
<http://purl.obolibrary.org/obo/UBERON_0011215>		
<http://purl.obolibrary.org/obo/CHEBI_26708>		
<http://purl.obolibrary.org/obo/UBERON_0011216>		
<http://purl.obolibrary.org/obo/CL_0000319>		
<http://purl.obolibrary.org/obo/MONDO_0003846>	"Viral infection of the esophagus. It often occurs in immunocompromised patients and it is caused by cytomegalovirus or herpes simplex virus. Symptoms include pain on swallowing, fever, and retrosternal burning."	"SCTID:235603003 UMLS:C0341110 DOID:6297 NCIT:C27108"
<http://purl.obolibrary.org/obo/UBERON_0000926>		
<http://purl.obolibrary.org/obo/NCIT_C3367>	"Clinical, laboratory or molecular evidence, or absence of evidence of disease."	
<http://purl.obolibrary.org/obo/MONDO_0024479>	"A epithelial neoplasm that involves the colon."	
<http://purl.obolibrary.org/obo/MONDO_0005387>	"Absent or premature cessation of ovarian function due to a pathologic process originating within the ovaries."	"SCTID:65846009 Orphanet:619 NCIT:C113352 ICD10CM:E28.3 MESH:D016649 EFO:0004266 ICD9:253.4 ICD9:256.39 UMLS:C0085215 DOID:5426 SCTID:370999003"
<http://purl.obolibrary.org/obo/UBERON_0007383>		
<http://purl.obolibrary.org/obo/MONDO_0700096>		
<https://github.com/bmir-radx/gcbo/nih_immuno_compromised_solid_organ>		
<http://purl.obolibrary.org/obo/SYMP_0000504>	"A pain that is characterized by a pain in the head."	"UMLS_CUI:C0018681 ICD9CM_2005:784.0 UMLS_ICD9CM_2005_AUI:A0065994"
<http://purl.obolibrary.org/obo/UBERON_0002224>		
<http://purl.obolibrary.org/obo/GO_0005615>		
<http://purl.obolibrary.org/obo/NCBITaxon_197563>		
<http://purl.obolibrary.org/obo/CHEBI_33608>		
<http://purl.obolibrary.org/obo/UBERON_0001159>		
<http://purl.obolibrary.org/obo/CHEBI_30413>	"A heme is any tetrapyrrolic chelate of iron."	
<http://purl.obolibrary.org/obo/UBERON_0003114>		
<http://purl.obolibrary.org/obo/UBERON_0002352>		
<http://purl.obolibrary.org/obo/MONDO_0003689>	"A congenital hemolytic anemia caused by defects of the erythrocyte membrane, enzyme deficiencies, or hemoglobinopathies."	"ICD9:282.9 NCIT:C34379 MESH:D000745 DOID:589 SCTID:42601008 ICD9:282"
<http://purl.obolibrary.org/obo/UBERON_0007601>		
<http://purl.obolibrary.org/obo/CHEBI_33695>		
<http://purl.obolibrary.org/obo/GO_0034284>		
<http://purl.obolibrary.org/obo/UBERON_0001021>		
<http://purl.obolibrary.org/obo/MONDO_0024492>	"A morphologic qualifier indicating that a cancerous lesion is moderately differentiated."	"EFO:0005746 NCIT:C28078"
<http://purl.obolibrary.org/obo/PATO_0002078>		
<http://purl.obolibrary.org/obo/UBERON_0002049>		
<http://purl.obolibrary.org/obo/UBERON_0000924>		
<https://github.com/bmir-radx/gcbo/nih_balance>		
<http://purl.obolibrary.org/obo/UBERON_0004880>		
<http://purl.obolibrary.org/obo/MONDO_0006025>	"Autosomal recessive form of disease."	"DOID:0050737 UMLS:C0265388 ICD9:758.5 EFO:1000017 SCTID:85995004"
<http://purl.obolibrary.org/obo/UBERON_0002351>		
<http://purl.obolibrary.org/obo/UBERON_0003379>		
<http://purl.obolibrary.org/obo/UBERON_0003113>		
<http://purl.obolibrary.org/obo/GO_0065007>		
<http://purl.obolibrary.org/obo/CHEBI_33561>		
<http://purl.obolibrary.org/obo/MONDO_0037792>	"A disease that has its basis in the disruption of carbohydrate metabolic process."	"SCTID:20957000"
<http://purl.obolibrary.org/obo/GO_0001696>		
<http://purl.obolibrary.org/obo/GO_0032060>		
<http://purl.obolibrary.org/obo/UBERON_0010323>		
<http://purl.obolibrary.org/obo/UBERON_0002048>		
<http://purl.obolibrary.org/obo/MONDO_0002132>	"A malignant neoplasm involving the skull."	"DOID:1863 UMLS:C0037305 SCTID:126538005 NCIT:C155790"
<http://purl.obolibrary.org/obo/MONDO_0001718>	"Inflammation of the sclera."	"NCIT:C119046 ICD9:379.00 MESH:D015423 UMLS:C0036416 HP:0100532 SCTID:78370002 DOID:13452"
<http://purl.obolibrary.org/obo/UBERON_0000925>		
<http://purl.obolibrary.org/obo/UBERON_8410081>		
<http://purl.obolibrary.org/obo/NBO_0000064>	"A feeding behavior associated with the intake or the frequency of intake or preference or manner of intake of liquids."	
<http://purl.obolibrary.org/obo/HP_0000152>		
<http://purl.obolibrary.org/obo/MONDO_0043218>	"A disorder of the nervous system related to a vascular etiology."	"UMLS:C3898144 NCIT:C117007"
<http://purl.obolibrary.org/obo/MONDO_0021375>	"A neoplasm (disease) that involves the duodenum."	"SCTID:126833009 NCIT:C2995"
<http://purl.obolibrary.org/obo/MONDO_0044348>		"UMLS:C0019045 ICD9:282.7 SCTID:80141007"
<http://purl.obolibrary.org/obo/MONDO_0005061>	"A carcinoma that arises from the lung and is characterized by the presence of malignant glandular epithelial cells. There is a male predilection with a male to female ratio of 2:1. Usually lung adenocarcinoma is asymptomatic and is identified through screening studies or as an incidental radiologic finding. If clinical symptoms are present they include shortness of breath, cough, hemoptysis, chest pain, and fever. Tobacco smoke is a known risk factor."	"EFO:0005288 NCIT:C3512 EFO:0000571 MESH:C538231 UMLS:C0152013 DOID:3910 SCTID:254626006 ONCOTREE:LUAD Orphanet:415268"
<http://purl.obolibrary.org/obo/GO_0006811>		
<http://purl.obolibrary.org/obo/GO_0070253>		
<http://purl.obolibrary.org/obo/UBERON_0000922>		
<http://purl.obolibrary.org/obo/MONDO_0008185>	"Hereditary chronic pancreatitis (HCP), a rare inherited form of pancreatitis is defined as recurrent acute pancreatitis and/or chronic pancreatitis in two first-degree relatives or 3 or more second-degree relatives in 2 or more generations, for which no predisposing factors are identified. HCP is characterized by irreversible damage to both exocrine and endocrine components of the pancreas."	"ICD9:577.8 MESH:C537262 Orphanet:676 GARD:6632 SCTID:68072000 NCIT:C95436 OMIM:167800"
<http://purl.obolibrary.org/obo/GO_0016477>		
<http://purl.obolibrary.org/obo/NCIT_C14139>	"A loss of any arm of immune functions, resulting in potential or actual increase in infections. This state may be reached secondary to specific genetic lesions, syndromes with unidentified or polygenic causes, acquired deficits from other disease states, or as result of therapy for other diseases or conditions."	
<http://purl.obolibrary.org/obo/GO_0006810>		
<http://purl.obolibrary.org/obo/MONDO_0024318>		"MESH:D020805 ICD10CM:A80-A89 SCTID:302810003 ICD10WHO:A80-A89 UMLS:C0348165"
<http://purl.obolibrary.org/obo/MONDO_0002203>	"Irregular and infrequent or difficult evacuation of the bowels."	"ICD9:564.0 ICD10CM:K59.0 NCIT:C37930 ICD9:564.00 MESH:D003248 SCTID:14760008 DOID:2089 HP:0002019"
<http://purl.obolibrary.org/obo/CHEBI_16670>	"Amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another with formal loss of water. The term is usually applied to structures formed from alpha-amino acids, but it includes those derived from any amino carboxylic acid. X = OH, OR, NH2, NHR, etc."	
<http://purl.obolibrary.org/obo/MONDO_0044347>	"A disease or disorder that involves the erythrocyte."	"ICD9:289.9 UMLS:C0221016 SCTID:38292009"
<http://purl.obolibrary.org/obo/MONDO_0003671>	"A myocardial infarction (disease) that involves the cardiac septum."	"DOID:5846"
